Graph,n,m,Result,Time Taken(ms),,Total(s),=SUM(E:E)/1000
KonigGraph-50-209,100,1037,Unique,49
KonigGraph-50-210,100,1301,Unique,58
KonigGraph-50-211,100,1523,Unique,65
KonigGraph-50-212,100,1794,Unique,70
KonigGraph-50-213,100,2030,Unique,79
KonigGraph-50-214,100,2260,Unique,75
KonigGraph-50-215,100,2511,Unique,81
KonigGraph-50-216,100,411,Unique,38
KonigGraph-50-217,100,524,Not Unique,31
KonigGraph-50-218,100,527,Unique,42
KonigGraph-50-219,100,536,Unique,44
KonigGraph-50-220,100,557,Unique,52
KonigGraph-50-221,100,572,Unique,40
KonigGraph-50-222,100,607,Unique,41
KonigGraph-50-223,100,606,Unique,39
KonigGraph-50-224,100,639,Unique,50
KonigGraph-50-225,100,668,Unique,41
KonigGraph-50-226,100,923,Unique,48
KonigGraph-50-227,100,1162,Unique,56
KonigGraph-50-228,100,1426,Unique,66
KonigGraph-50-229,100,1648,Unique,91
KonigGraph-50-230,100,1919,Unique,76
KonigGraph-50-231,100,2155,Unique,75
KonigGraph-50-232,100,2385,Unique,83
KonigGraph-50-233,100,2636,Unique,90
KonigGraph-50-234,100,536,Unique,42
KonigGraph-50-235,100,626,Not Unique,40
KonigGraph-50-236,100,629,Unique,43
KonigGraph-50-237,100,638,Unique,59
KonigGraph-50-238,100,659,Unique,45
KonigGraph-50-239,100,674,Unique,46
KonigGraph-50-240,100,709,Unique,53
KonigGraph-50-241,100,708,Unique,46
KonigGraph-50-242,100,741,Unique,59
KonigGraph-50-243,100,770,Unique,41
KonigGraph-50-244,100,1025,Unique,53
KonigGraph-50-245,100,1264,Unique,56
KonigGraph-50-246,100,1528,Unique,65
KonigGraph-50-247,100,1750,Unique,74
KonigGraph-50-248,100,2021,Unique,73
KonigGraph-50-249,100,2257,Unique,76
KonigGraph-50-250,100,2487,Unique,82
KonigGraph-50-251,100,2738,Unique,89
KonigGraph-50-252,100,638,Unique,53
KonigGraph-50-253,100,748,Not Unique,42
KonigGraph-50-254,100,751,Unique,50
KonigGraph-50-255,100,760,Unique,57
KonigGraph-50-256,100,781,Unique,51
KonigGraph-50-257,100,796,Unique,51
KonigGraph-50-258,100,831,Unique,49
KonigGraph-50-259,100,830,Unique,48
KonigGraph-50-260,100,863,Unique,53
KonigGraph-50-261,100,892,Unique,46
KonigGraph-50-262,100,1147,Unique,60
KonigGraph-50-263,100,1386,Unique,64
KonigGraph-50-264,100,1650,Unique,67
KonigGraph-50-265,100,1872,Unique,72
KonigGraph-50-266,100,2143,Unique,73
KonigGraph-50-267,100,2379,Unique,76
KonigGraph-50-268,100,2609,Unique,83
KonigGraph-50-269,100,2860,Unique,89
KonigGraph-50-270,100,760,Unique,60
KonigGraph-50-271,100,890,Not Unique,51
KonigGraph-50-272,100,893,Unique,63
KonigGraph-50-273,100,902,Unique,62
KonigGraph-50-274,100,923,Unique,57
KonigGraph-50-275,100,938,Unique,55
KonigGraph-50-276,100,973,Unique,53
KonigGraph-50-277,100,972,Unique,50
KonigGraph-50-278,100,1005,Unique,53
KonigGraph-50-279,100,1034,Unique,46
KonigGraph-50-280,100,1289,Unique,57
KonigGraph-50-281,100,1528,Unique,59
KonigGraph-50-282,100,1792,Unique,69
KonigGraph-50-283,100,2014,Unique,72
KonigGraph-50-284,100,2285,Unique,74
KonigGraph-50-285,100,2521,Unique,87
KonigGraph-50-286,100,2751,Unique,87
KonigGraph-50-287,100,3002,Unique,94
KonigGraph-50-288,100,902,Unique,71
KonigGraph-50-289,100,1011,Not Unique,42
KonigGraph-50-290,100,1014,Unique,68
KonigGraph-50-291,100,1023,Unique,79
KonigGraph-50-292,100,1044,Unique,63
KonigGraph-50-293,100,1059,Unique,62
KonigGraph-50-294,100,1094,Unique,62
KonigGraph-50-295,100,1093,Unique,61
KonigGraph-50-296,100,1126,Unique,65
KonigGraph-50-297,100,1155,Unique,58
KonigGraph-50-298,100,1410,Unique,59
KonigGraph-50-299,100,1649,Unique,63
KonigGraph-50-300,100,1913,Unique,74
KonigGraph-50-301,100,2135,Unique,77
KonigGraph-50-302,100,2406,Unique,79
KonigGraph-50-303,100,2642,Unique,84
KonigGraph-50-304,100,2872,Unique,92
KonigGraph-50-305,100,3123,Unique,92
KonigGraph-50-306,100,1023,Unique,71
KonigGraph-50-307,100,1131,Not Unique,54
KonigGraph-50-308,100,1134,Unique,65
KonigGraph-50-309,100,1143,Unique,65
KonigGraph-50-310,100,1164,Unique,73
KonigGraph-50-311,100,1179,Unique,67
KonigGraph-50-312,100,1214,Unique,62
KonigGraph-50-313,100,1213,Unique,62
KonigGraph-50-314,100,1246,Unique,67
KonigGraph-50-315,100,1275,Unique,51
KonigGraph-50-316,100,1530,Unique,64
KonigGraph-50-317,100,1769,Unique,69
KonigGraph-50-318,100,2033,Unique,81
KonigGraph-50-319,100,2255,Unique,83
KonigGraph-50-320,100,2526,Unique,80
KonigGraph-50-321,100,2762,Unique,84
KonigGraph-50-322,100,2992,Unique,100
KonigGraph-50-323,100,3243,Unique,98
KonigGraph-50-324,100,1143,Unique,80
KonigGraph-100-1,200,13409,Unique,941
KonigGraph-100-2,200,4771,Unique,556
KonigGraph-100-3,200,4806,Unique,605
KonigGraph-100-4,200,4867,Unique,573
KonigGraph-100-5,200,4961,Unique,612
KonigGraph-100-6,200,5005,Unique,493
KonigGraph-100-7,200,5125,Unique,437
KonigGraph-100-8,200,5208,Unique,504
KonigGraph-100-9,200,5380,Unique,495
KonigGraph-100-10,200,5406,Unique,447
KonigGraph-100-11,200,5508,Unique,440
KonigGraph-100-12,200,6477,Unique,471
KonigGraph-100-13,200,7466,Unique,566
KonigGraph-100-14,200,8436,Unique,627
KonigGraph-100-15,200,9444,Unique,631
KonigGraph-100-16,200,10475,Unique,786
KonigGraph-100-17,200,11497,Unique,781
KonigGraph-100-18,200,12429,Unique,837
KonigGraph-100-19,200,9063,Unique,652
KonigGraph-100-20,200,425,Unique,97
KonigGraph-100-21,200,460,Unique,94
KonigGraph-100-22,200,521,Unique,107
KonigGraph-100-23,200,615,Unique,106
KonigGraph-100-24,200,659,Unique,184
KonigGraph-100-25,200,779,Unique,121
KonigGraph-100-26,200,862,Unique,139
KonigGraph-100-27,200,1034,Unique,157
KonigGraph-100-28,200,1060,Unique,145
KonigGraph-100-29,200,1162,Unique,164
KonigGraph-100-30,200,2131,Unique,223
KonigGraph-100-31,200,3120,Unique,283
KonigGraph-100-32,200,4090,Unique,346
KonigGraph-100-33,200,5098,Unique,400
KonigGraph-100-34,200,6129,Unique,490
KonigGraph-100-35,200,7151,Unique,546
KonigGraph-100-36,200,8083,Unique,602
KonigGraph-100-37,200,9072,Unique,648
KonigGraph-100-38,200,434,Unique,100
KonigGraph-100-39,200,469,Unique,122
KonigGraph-100-40,200,530,Unique,104
KonigGraph-100-41,200,624,Unique,110
KonigGraph-100-42,200,668,Unique,154
KonigGraph-100-43,200,788,Unique,124
KonigGraph-100-44,200,871,Unique,126
KonigGraph-100-45,200,1043,Unique,173
KonigGraph-100-46,200,1069,Unique,145
KonigGraph-100-47,200,1171,Unique,172
KonigGraph-100-48,200,2140,Unique,214
KonigGraph-100-49,200,3129,Unique,282
KonigGraph-100-50,200,4099,Unique,345
KonigGraph-100-51,200,5107,Unique,414
KonigGraph-100-52,200,6138,Unique,498
KonigGraph-100-53,200,7160,Unique,545
KonigGraph-100-54,200,8092,Unique,591
KonigGraph-100-55,200,9144,Unique,668
KonigGraph-100-56,200,506,Unique,104
KonigGraph-100-57,200,541,Unique,122
KonigGraph-100-58,200,602,Unique,109
KonigGraph-100-59,200,696,Unique,123
KonigGraph-100-60,200,740,Unique,128
KonigGraph-100-61,200,860,Unique,136
KonigGraph-100-62,200,943,Unique,149
KonigGraph-100-63,200,1115,Unique,163
KonigGraph-100-64,200,1141,Unique,179
KonigGraph-100-65,200,1243,Unique,154
KonigGraph-100-66,200,2212,Unique,220
KonigGraph-100-67,200,3201,Unique,315
KonigGraph-100-68,200,4171,Unique,357
KonigGraph-100-69,200,5179,Unique,395
KonigGraph-100-70,200,6210,Unique,472
KonigGraph-100-71,200,7232,Unique,531
KonigGraph-100-72,200,8164,Unique,598
KonigGraph-100-73,200,9169,Unique,659
KonigGraph-100-74,200,531,Unique,98
KonigGraph-100-75,200,566,Unique,116
KonigGraph-100-76,200,627,Unique,153
KonigGraph-100-77,200,721,Unique,128
KonigGraph-100-78,200,765,Unique,117
KonigGraph-100-79,200,885,Unique,127
KonigGraph-100-80,200,968,Unique,142
KonigGraph-100-81,200,1140,Unique,180
KonigGraph-100-82,200,1166,Unique,151
KonigGraph-100-83,200,1268,Unique,155
KonigGraph-100-84,200,2237,Unique,219
KonigGraph-100-85,200,3226,Unique,322
KonigGraph-100-86,200,4196,Unique,365
KonigGraph-100-87,200,5204,Unique,405
KonigGraph-100-88,200,6235,Unique,469
